Prime number: 7
Derivation:
1. S -> aQ : #aQ#
2. Q -> bQ : #abQ#
3. Q -> bQ : #abbQ#
4. Q -> bQ : #abbbQ#
5. Q -> bQ : #abbbbQ#
6. Q -> bQ : #abbbbbQ#
7. Q -> b+ : #abbbbbb+#
8. b+# -> b*# : #abbbbbb*#
9. bb* -> b*c : #abbbbb*c#
10. bb* -> b*c : #abbbb*cc#
11. bb* -> b*c : #abbb*ccc#
12. bb* -> b*c : #abb*cccc#
13. bb* -> b*c : #ab*ccccc#
14. ab* -> a*a- : #a*a-ccccc#
15. #a* -> #a+ : #a+a-ccccc#
16. -c -> b : #a+abcccc#
17. +a -> a+ : #aa+bcccc#
18. +b -> b+ : #aab+cccc#
19. +c -> bo : #aabboccc#
20. oc -> 'c : #aabb'ccc#
21. b' -> 'b : #aab'bccc#
22. b' -> 'b : #aa'bbccc#
23. a' -> a* : #aa*bbccc#
24. aa* -> a*a- : #a*a-bbccc#
25. #a* -> #a+ : #a+a-bbccc#
26. -b -> b- : #a+ab-bccc#
27. +a -> a+ : #aa+b-bccc#
28. +b -> b+ : #aab+-bccc#
29. -b -> b- : #aab+b-ccc#
30. -c -> b : #aab+bbcc#
31. +b -> b+ : #aabb+bcc#
32. +b -> b+ : #aabbb+cc#
33. +c -> bo : #aabbbboc#
34. oc -> 'c : #aabbbb'c#
35. b' -> 'b : #aabbb'bc#
36. b' -> 'b : #aabb'bbc#
37. b' -> 'b : #aab'bbbc#
38. b' -> 'b : #aa'bbbbc#
39. a' -> a* : #aa*bbbbc#
40. aa* -> a*a- : #a*a-bbbbc#
41. #a* -> #a+ : #a+a-bbbbc#
42. -b -> b- : #a+ab-bbbc#
43. +a -> a+ : #aa+b-bbbc#
44. +b -> b+ : #aab+-bbbc#
45. -b -> b- : #aab+b-bbc#
46. +b -> b+ : #aabb+-bbc#
47. -b -> b- : #aabb+b-bc#
48. +b -> b+ : #aabbb+-bc#
49. -b -> b- : #aabbb+b-c#
50. -c -> b : #aabbb+bb#
51. +b -> b+ : #aabbbb+b#
52. +b -> b+ : #aabbbbb+#
53. b+# -> b*# : #aabbbbb*#
54. bb* -> b*c : #aabbbb*c#
55. bb* -> b*c : #aabbb*cc#
56. bb* -> b*c : #aabb*ccc#
57. bb* -> b*c : #aab*cccc#
58. ab* -> a*a- : #aa*a-cccc#
59. aa* -> a*a- : #a*a-a-cccc#
60. #a* -> #a+ : #a+a-a-cccc#
61. -a -> a- : #a+aa--cccc#
62. -c -> b : #a+aa-bccc#
63. +a -> a+ : #aa+a-bccc#
64. -b -> b- : #aa+ab-ccc#
65. -c -> b : #aa+abbcc#
66. +a -> a+ : #aaa+bbcc#
67. +b -> b+ : #aaab+bcc#
68. +b -> b+ : #aaabb+cc#
69. +c -> bo : #aaabbboc#
70. oc -> 'c : #aaabbb'c#
71. b' -> 'b : #aaabb'bc#
72. b' -> 'b : #aaab'bbc#
